ID;Aktywny(0 lub 1);Nazwa *;Opis;Krótki opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;URL zdjęcia;ID / Nazwa sklepu grupy
1;1;HUGO;Super marka HUGO;;;;;https://img01.ztat.net/article/spp-media-p1/dfd5ca8bae044815a64b9c48201340ee/d37554a67582422dad345faa37aeb9c8.jpg?imwidth=300&filter=packshot;
2;1;Pier One;Super marka Pier One;;;;;https://img01.ztat.net/article/spp-media-p1/63ffc7e5afec3f3c94b040c207ebdfb1/f6a5d4ec4b4344a2a7b0a1c40360be47.jpg?imwidth=300;
3;1;Levi's®;Super marka Levi's®;;;;;https://img01.ztat.net/article/spp-media-p1/209ac80842744e7db99ba7f7ebfa9978/262149ec79be48d2b90a961d3da04661.jpg?imwidth=300&filter=packshot;
4;1;The North Face;Super marka The North Face;;;;;https://img01.ztat.net/article/spp-media-p1/5072946d72033ded881b507c579bf092/373d4ff7fbce469e91cdfaaabba01a2d.jpg?imwidth=300;
5;1;Marc O'Polo;Super marka Marc O'Polo;;;;;https://img01.ztat.net/article/spp-media-p1/6cc7b13c0f1f3a05978931d01455dca8/35c9b4473bd8431c9b901214b01fb5de.jpg?imwidth=300;
6;1;Denim Culture;Super marka Denim Culture;;;;;https://img01.ztat.net/article/spp-media-p1/74083c4d24fe4ab88cba6be3c886dbc9/5cf2f65661194eb1b9d520c5bafe6237.jpg?imwidth=300&filter=packshot;
7;1;Tommy Jeans;Super marka Tommy Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/8d97828234e3400a9f56b94f9221df5d/1e780220eb4c48d9b1751ca6e2709736.jpg?imwidth=300;
8;1;WÓLCZANKA;Super marka WÓLCZANKA;;;;;https://img01.ztat.net/article/spp-media-p1/74c0524beb684730a2af147136b8478a/5bdabfefb0cc426693db42516ce77893.jpg?imwidth=300;
9;1;YOURTURN;Super marka YOURTURN;;;;;https://img01.ztat.net/article/spp-media-p1/948512164d1d4f218ccf553d4e76b898/7d4f21f222c94f339c6aec572caa8219.jpg?imwidth=300;
10;1;Sir Raymond Tailor;Super marka Sir Raymond Tailor;;;;;https://img01.ztat.net/article/spp-media-p1/096adb5d2b964b75804625e901759b4e/a02e367032b54a8897bb3dce0f8024ba.jpg?imwidth=300;
11;1;PULL&BEAR;Super marka PULL&BEAR;;;;;https://img01.ztat.net/article/spp-media-p1/447cdb7d801a442eaf5ee02f1a9e58be/4b2c3a93b6854bb58267acd44ecdb3dc.jpg?imwidth=300;
12;1;Tommy Hilfiger;Super marka Tommy Hilfiger;;;;;https://img01.ztat.net/article/spp-media-p1/dd9ac9248bed4781b69b0675b1b6f831/a62be74924a440e7ae737068e2eba344.jpg?imwidth=300;
13;1;GAP;Super marka GAP;;;;;https://img01.ztat.net/article/spp-media-p1/53d66779c73b4f94b446ead61747fbf6/83218d44390e46b68fb3a58cb35cfb64.jpg?imwidth=300;
